,Date,Close,Shares,pct_change,bi-returns,portfolio,returns,call_premium
0,1/3/2012 16:00:00,14.69,#ERROR!,,,55770.69096431283,-44229.30903568717,0.08814
10,1/18/2012 16:00:00,15.33,,0.043567052416610075,4356.705241661008,58200.45558086561,-41799.54441913439,0.09198
20,2/1/2012 16:00:00,16.29,,0.06262230919765166,6262.230919765166,61845.102505694755,-38154.897494305245,0.09774
30,2/15/2012 16:00:00,17.77,,0.09085328422344996,9085.328422344995,67463.93318147304,-32536.06681852696,0.10662
40,3/1/2012 16:00:00,19.45,,0.09454136184580753,9454.136184580753,73842.06529992407,-26157.93470007593,0.1167
50,3/15/2012 16:00:00,20.91,,0.07506426735218508,7506.426735218508,79384.96583143508,-20615.03416856492,0.12546000000000002
60,3/29/2012 16:00:00,21.78,,0.041606886657101994,4160.6886657101995,82687.9271070615,-17312.072892938493,0.13068000000000002
70,4/13/2012 16:00:00,21.62,,-0.00734618916437102,-734.618916437102,82080.48595292332,-17919.51404707668,0.12972
80,4/27/2012 16:00:00,21.54,,-0.0037002775208141436,-370.02775208141435,81776.76537585421,-18223.234624145785,0.12924
90,5/11/2012 16:00:00,20.24,,-0.060352831940575724,-6035.2831940575725,76841.30599848139,-23158.694001518612,0.12143999999999999
100,5/25/2012 16:00:00,20.08,,-0.007905138339920903,-790.5138339920903,76233.8648443432,-23766.135155656797,0.12047999999999999
110,6/11/2012 16:00:00,20.4,,0.015936254980079667,1593.6254980079666,77448.74715261959,-22551.252847380412,0.1224
120,6/25/2012 16:00:00,20.38,,-0.0009803921568627416,-98.03921568627416,77372.81700835231,-22627.182991647685,0.12228
130,7/10/2012 16:00:00,21.72,,0.0657507360157017,6575.07360157017,82460.13667425967,-17539.863325740327,0.13032
140,7/24/2012 16:00:00,21.46,,-0.011970534069981498,-1197.0534069981497,81473.04479878512,-18526.955201214878,0.12876
150,8/7/2012 16:00:00,22.18,,0.033550792171481714,3355.079217148171,84206.52999240698,-15793.470007593016,0.13308
160,8/21/2012 16:00:00,23.43,,0.056357078449053244,5635.707844905324,88952.16400911161,-11047.835990888387,0.14058
170,9/5/2012 16:00:00,23.94,,0.021766965428937413,2176.6965428937415,90888.38268792711,-9111.617312072893,0.14364000000000002
180,9/19/2012 16:00:00,25.08,,0.04761904761904745,4761.904761904745,95216.40091116172,-4783.59908883828,0.15048
190,10/3/2012 16:00:00,23.98,,-0.04385964912280693,-4385.964912280693,91040.24297646165,-8959.757023538346,0.14388
200,10/17/2012 16:00:00,23.02,,-0.04003336113427858,-4003.336113427858,87395.5960516325,-12604.4039483675,0.13812
210,11/2/2012 16:00:00,20.6,,-0.10512597741094687,-10512.597741094687,78208.04859529233,-21791.951404707666,0.12360000000000002
220,11/16/2012 16:00:00,18.85,,-0.08495145631067957,-8495.145631067957,71564.16097190585,-28435.839028094153,0.1131
230,12/3/2012 16:00:00,20.94,,0.11087533156498663,11087.533156498663,79498.86104783599,-20501.13895216401,0.12564
240,12/17/2012 16:00:00,18.53,,-0.11509073543457493,-11509.073543457493,70349.27866362946,-29650.721336370538,0.11118000000000001
250,1/2/2013 16:00:00,19.61,,0.05828386400431729,5828.386400431728,74449.50645406226,-25550.493545937745,0.11766
260,1/16/2013 16:00:00,18.07,,-0.07853136155022944,-7853.136155022944,68602.88534548215,-31397.11465451785,0.10842
270,1/31/2013 16:00:00,16.27,,-0.09961261759822915,-9961.261759822915,61769.17236142749,-38230.82763857251,0.09762
280,2/14/2013 16:00:00,16.66,,0.023970497848801564,2397.0497848801565,63249.81017463933,-36750.18982536067,0.09996000000000001
290,3/1/2013 16:00:00,15.37,,-0.07743097238895569,-7743.097238895569,58352.31586940015,-41647.68413059985,0.09222
300,3/15/2013 16:00:00,15.85,,0.03122966818477546,3122.966818477546,60174.63933181473,-39825.36066818527,0.0951
310,4/1/2013 16:00:00,15.32,,-0.03343848580441633,-3343.8485804416327,58162.49050873197,-41837.50949126803,0.09192
320,4/15/2013 16:00:00,14.99,,-0.021540469973890364,-2154.0469973890363,56909.64312832194,-43090.35687167806,0.08994
330,4/29/2013 16:00:00,15.36,,0.024683122081387454,2468.3122081387455,58314.35079726651,-41685.64920273349,0.09215999999999999
340,5/13/2013 16:00:00,16.24,,0.05729166666666652,5729.1666666666515,61655.27714502657,-38344.72285497343,0.09744
